racer1;racer2;racer3;racer4
0;0;0;1
0;1;0;0
0;0;1;0
0;0;1;0
0;0;0;1
1;0;0;0
0;0;0;1
1;0;0;0
0;0;1;0
0;1;0;0
1;0;0;0
0;0;1;0
0;1;0;0
0;1;0;0
0;1;0;0
1;0;0;0
0;0;1;0
1;0;0;0
0;0;1;0
0;0;0;1
1;0;0;0
0;1;0;0
1;0;0;0
1;0;0;0
0;0;0;1
0;0;1;0
0;0;0;1
0;0;1;0
0;0;0;1
0;0;0;0
0;0;1;0
0;1;0;0
0;0;0;1
0;1;0;0
0;0;1;0
1;0;0;0
0;0;0;1
1;0;0;0
0;0;0;1
0;0;1;0
0;1;0;0
0;1;0;0
1;0;0;0
1;0;0;0
1;0;0;0
0;0;0;1
0;1;0;0
0;1;0;0
0;0;0;1
0;0;0;1
0;0;1;0
1;0;0;0
0;1;0;0
0;0;0;1
0;1;0;0
0;0;1;0
1;0;0;0
0;0;1;0
0;0;1;0
0;0;0;1
0;0;0;1
0;0;1;0
0;0;1;0
1;0;0;0
0;1;0;0
0;0;1;0
0;0;0;1
0;0;1;0
0;0;1;0
0;0;0;1
1;0;0;0
0;1;0;0
0;0;1;0
0;0;1;0
0;1;0;0
0;0;1;0
0;0;1;0
0;1;0;0
0;0;0;1
0;0;0;1
0;1;0;0
0;1;0;0
0;1;0;0
0;0;1;0
0;0;1;0
0;0;0;1
0;0;0;1
0;1;0;0
1;0;0;0
0;1;0;0
0;0;0;1
0;0;1;0
0;1;0;0
0;1;0;0
0;0;1;0
0;0;1;0
0;0;0;1
0;1;0;0
0;1;0;0
0;0;0;1
1;0;0;0
1;0;0;0
1;0;0;0
0;0;1;0
1;0;0;0
0;0;0;1
0;0;0;1
0;1;0;0
0;0;1;0
0;0;0;1
1;0;0;0
0;0;1;0
0;0;0;1
0;0;0;1
0;0;0;1
0;1;0;0
0;0;0;1
